city_key,zones,sources,assignments
kiriwattuduwa,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Copy of courier (1).xlsx|C:Domestic Zone List.pdf
kochchikade,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Domestic Zone List.pdf|C:Copy of courier (1).xlsx
kolonnawa,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Copy of courier (1).xlsx|C:Domestic Zone List.pdf
kosgama,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Copy of courier (1).xlsx|C:Domestic Zone List.pdf
kotikawatta,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Copy of courier (1).xlsx|C:Domestic Zone List.pdf
kotugoda,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Domestic Zone List.pdf|C:Copy of courier (1).xlsx
madapatha,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Copy of courier (1).xlsx|C:Domestic Zone List.pdf
mahabage,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Domestic Zone List.pdf|C:Copy of courier (1).xlsx
makola,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Domestic Zone List.pdf|C:Copy of courier (1).xlsx
malwana,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Domestic Zone List.pdf|C:Copy of courier (1).xlsx
mannar,C|D,Copy of courier (1).xlsx|Domestic Zone List.pdf,C:Domestic Zone List.pdf|D:Copy of courier (1).xlsx
marandagahamula,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Domestic Zone List.pdf|C:Copy of courier (1).xlsx
meegoda,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Copy of courier (1).xlsx|C:Domestic Zone List.pdf
mullegama,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Copy of courier (1).xlsx|C:Domestic Zone List.pdf
mulleriyawa,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Copy of courier (1).xlsx|C:Domestic Zone List.pdf
negombo,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Domestic Zone List.pdf|C:Copy of courier (1).xlsx
padukka,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Copy of courier (1).xlsx|C:Domestic Zone List.pdf
panadura,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Domestic Zone List.pdf|C:Copy of courier (1).xlsx
paranthan,C|D,Copy of courier (1).xlsx|Domestic Zone List.pdf,C:Domestic Zone List.pdf|D:Copy of courier (1).xlsx
peliyagoda,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Domestic Zone List.pdf|C:Copy of courier (1).xlsx
pethiyagoda,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Domestic Zone List.pdf|C:Copy of courier (1).xlsx
piliyandala,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Copy of courier (1).xlsx|C:Domestic Zone List.pdf
polgasowita,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Copy of courier (1).xlsx|C:Domestic Zone List.pdf
puwakpitiya,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Copy of courier (1).xlsx|C:Domestic Zone List.pdf
raddolugama,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Domestic Zone List.pdf|C:Copy of courier (1).xlsx
